G3,Dalc,Fedu,G1,G2,Medu,Walc,absences,age,failures,famrel,freetime,goout,health,studytime,traveltime
1,0,1,0.125,0.315789473684211,1,0,0.08,0.428571428571429,0,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333
1,0,0.25,0.125,0.263157894736842,0.25,0,0.0533333333333333,0.285714285714286,0,1,0.5,0.5,0.5,0.333333333333333,0
2,0.25,0.25,0.25,0.421052631578947,0.25,0.5,0.133333333333333,0,1,0.75,0.5,0.25,0.5,0.333333333333333,0
3,0,0.5,0.75,0.736842105263158,1,0,0.0266666666666667,0,0,0.5,0.25,0.25,1,0.666666666666667,0
2,0,0.75,0.1875,0.526315789473684,0.75,0.25,0.0533333333333333,0.142857142857143,0,0.75,0.5,0.25,1,0.333333333333333,0
3,0,0.75,0.75,0.789473684210526,1,0.25,0.133333333333333,0.142857142857143,0,1,0.75,0.25,1,0.333333333333333,0
2,0,0.5,0.5625,0.631578947368421,0.5,0,0,0.142857142857143,0,0.75,0.75,0.75,0.5,0.333333333333333,0
1,0,1,0.1875,0.263157894736842,1,0,0.08,0.285714285714286,0,0.75,0,0.75,0,0.333333333333333,0.333333333333333
3,0,0.5,0.8125,0.947368421052632,0.75,0,0,0,0,0.75,0.25,0.25,0,0.333333333333333,0
3,0,1,0.6875,0.789473684210526,0.75,0,0,0,0,1,1,0,1,0.333333333333333,0
1,0,1,0.4375,0.421052631578947,1,0.25,0,0,0,0.5,0.5,0.5,0.25,0.333333333333333,0
2,0,0.25,0.4375,0.631578947368421,0.5,0,0.0533333333333333,0,0,1,0.25,0.25,0.75,0.666666666666667,0.666666666666667
2,0,1,0.6875,0.736842105263158,1,0.5,0.0266666666666667,0,0,0.75,0.5,0.5,1,0,0
2,0,0.75,0.4375,0.526315789473684,1,0.25,0.0266666666666667,0,0,1,0.75,0.5,0.5,0.333333333333333,0.333333333333333
